Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/talk.religion.misc/84201
Truth category: 3 (talk.religion.misc)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: royc@rbdc.wsnc.org (Roy Crabtree)
Subject: Re: A Message for you Mr. President: How do you know what happened?
Organization: Red Barn Data Center
Lines: 26

In article <C5s9CK.2Bt@apollo.hp.com> nelson_p@apollo.hp.com (Peter Nelson) writes:
>  who would be alive today if they had been released back when we were

	The word "released" is loaded:  until convicted in CXOurt,
	my children are my own.

	WHen the Feds use this type of loaded logic, you cannot win:
		1)  we accuse you
		2) we shoot a couple of your kids
		3)  we blame you for those shots
		4) we harrass you for 51 days
		5) we tell you to come out or die
		6) we gas you
		7) you burn to death
		8)  we blame you (prior to trial) for all of it
>  debating this a few weeks ago.
>
>
>---peter
>
>
>
>
>



========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 messag presid know happen     aliv today releas
back  word releas load convict cxourt children
fed use type load logic cannot win accus shoot
coupl kid blame shot harrass day tell come die gas
burn death blame prior trial debat week ago
peter
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
blame, 1138, 0.347155884232
load, 5317, 0.291135609719
releas, 7253, 0.273635958992
harrass, 4183, 0.244033867104
trial, 9089, 0.212375031055
convict, 2119, 0.204827677222
fed, 3424, 0.190682451803
debat, 2426, 0.177058834735
prior, 6874, 0.174412545617
shoot, 7900, 0.172765019099
accus, 227, 0.171972678638
gas, 3780, 0.164989227927
aliv, 417, 0.16088859671
logic, 5330, 0.158766035893
kid, 5008, 0.157263550099
peter, 6575, 0.154459068008
shot, 7910, 0.153577438538
presid, 6839, 0.149891326977
burn, 1413, 0.146593987826
children, 1707, 0.141179218734
death, 2423, 0.139749939468
coupl, 2187, 0.130192783613
messag, 5650, 0.129379860596
die, 2628, 0.128006157724
type, 9177, 0.122236328837
ago, 336, 0.121918602489
today, 8964, 0.119633224184
week, 9691, 0.115252878126
win, 9770, 0.113756380617
word, 9829, 0.112096367006
happen, 4159, 0.11030113502
tell, 8767, 0.102266888067
day, 2402, 0.0928031060557
come, 1923, 0.0907521673429
use, 9363, 0.0691180302682
know, 5052, 0.0674105644905
