Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/talk.religion.misc/84052
Truth category: 3 (talk.religion.misc)
Assigned cluster: 2 (god christian jesus moral say peopl koresh bibl object believ)

Raw data:
============ START RAW ==========================
From: ece_0028@bigdog.engr.arizona.edu (David Anderson)
Subject: Re: Christian Owned Organization list
Organization: University of Arizona
Lines: 15

In article <1993Apr13.025426.22532@mnemosyne.cs.du.edu> kcochran@nyx.cs.du.edu (Keith "Justified And Ancient" Cochran) writes:
>In article <47749@sdcc12.ucsd.edu> shopper@ucsd.edu writes:
>>
>>Does anyone have or know where I can find a list of christian-owned
>>corporations and companies?  One that I know of is WordPerfect.
>
>I believe that WordPerfect is actually owned by the Mormons.
Sorry, but Mormons aren't generally considered to be Christians.


>--
>=kcochran@nyx.cs.du.edu | B(0-4) c- d- e++ f- g++ k(+) m r(-) s++(+) t | TSAKC=
>=My thoughts, my posts, my ideas, my responsibility, my beer, my pizza.  OK???=
>="Do you have some pumps and a purse in this shade?  A perfume that whispers, =
>='please come back to me'?  I'm looking for something in Green."-Laurie Morgan=

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 christian own organ list       anyon know find
list christian own corpor compani one know
wordperfect  believ wordperfect actual own mormon
sorri mormon aren't general consid christian
thought post idea respons beer pizza pump purs
shade perfum whisper pleas come back me i'm look
someth green lauri morgan
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
wordperfect, 9831, 0.440473239819
christian, 1732, 0.317222239065
mormon, 5863, 0.3073818595
whisper, 9734, 0.232316692178
lauri, 5150, 0.22566854867
list, 5298, 0.218234323872
purs, 6994, 0.211665672234
pump, 6982, 0.194992969637
pizza, 6655, 0.191014652291
morgan, 5861, 0.185894696266
beer, 990, 0.177718365275
shade, 7835, 0.165243676323
green, 4025, 0.164469785434
corpor, 2154, 0.150181805157
aren, 623, 0.130007485368
know, 5052, 0.128347753909
organ, 6287, 0.124736166829
compani, 1958, 0.123941636435
general, 3818, 0.115029635374
sorri, 8142, 0.114884656382
respons, 7323, 0.11474037947
consid, 2059, 0.104490501765
thought, 8887, 0.103984664078
idea, 4482, 0.101855678299
actual, 254, 0.0957922872411
believ, 1009, 0.0920050746168
someth, 8126, 0.0877014196292
pleas, 6688, 0.0876433998951
post, 6766, 0.0870125305784
come, 1923, 0.0863947433825
anyon, 554, 0.08005950878
look, 5341, 0.0743517503022
